title, alternative_title, certification, country, production_year, language, subtitle_language, length,	print_source, url
"In Conversation with Stephen Frears",NULL,"CFF-PG",,"2000",,,"120",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/in-conversation-with-stephen-frears/"
"Fresher's Week Screening",NULL,"PG",,"2000",,,"120",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/freshers-week-screening/"
"The Desert of Forbidden Art",NULL,"CFF-15","Russia","2010","English and Russian","English","80",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-desert-of-forbidden-art/"
"You, The Living",NULL,"15","Sweden","2008",,"English","95",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/you-the-living/"
"The Girl Who Kicked The Hornet's Nest",NULL,"CFF-15","Sweden","2009",NULL,NULL,"148",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-girl-who-kicked-the-hornets-nest/"
"GravyTrain",NULL,"CFF-15","Canada","2010","English",NULL,"84",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/gravytrain/"
"Ian Christie: (Not) Coming Soon",NULL,"PG","United Kingdom","2000",NULL,NULL,"105",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/ian-christie-unfinished-symphonies/"
"Movies Beside the Museum: The Rhythm of the Tracks",NULL,"CFF-PG","Various","2010","Various",NULL,"120",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/rhythm-of-the-tracks/"
"UK Shorts II - Relationships: The Eternal Riddle",NULL,"CFF-15","UK","2009","English",NULL,"74",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/uk-shorts-ii-relationships-the-eternal-riddle/"
"The Gruffalo",NULL,"U","United Kingdom","2009",,,"27",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-gruffalo/"
"The Battle of the Rails (La Bataille du Rail)",NULL,"CFF-PG","France","1946",,"English","85",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/the-battle-of-the-rails-la-bataille-du/"
"We Are What We Are (Somos lo que hey) + Happy Face",NULL,"CFF-18","Mexico","2010","Spanish","English","105","Artificial Eye","http://www.cambridgefilmfestival.org.uk/films/2010/we-are-what-we-are-somos-lo-que/"
"Hoi Polloi Present HUGH HUGHES: HOW I GOT HERE",NULL,"PG","United Kingdom","2010",NULL,NULL,"75",NULL,"http://www.cambridgefilmfestival.org.uk/films/2010/hoi-polloi-present-hugh-hughes-how-i-got/"
