"CITY","COUNTRY","Browser","Operating_System","Country_Code","Date"
,"Turkey","--","--","TR","Sep 6, 2011 9:39 AM"
"Dubai","UAE","--","--","AE","Feb 28, 2011 2:25 PM"
"Faber","United States Minor Outlying Islands","--","--","UM","Feb 28, 2011 2:26 PM"
"Saffron Walden","United Kingdom","--","--","GB","Oct 13, 2011 2:56 PM"
"Saffron Walden","United Kingdom","--","--","GB","Oct 13, 2011 2:56 PM"
"Brighton","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Bristol","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Bristol","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Bristol","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Colwyn Bay","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Colwyn Bay","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:47 AM"
"Bristol","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cambridge","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Cardiff","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Coventry","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Edinburgh","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Essex","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Essex","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Gwynned","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Histon","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Ipswich","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Leeds","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Leeds","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Leeds","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Leicester","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Leicester","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Leicester","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Liverpool","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Liverpool","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"Liverpool","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
"London","United Kingdom","--","--","GB","Oct 7, 2011 11:48 AM"
