"url","type","date","title","contributor","wordcount","viewcount"
"http://www.lrb.co.uk/v02/n19/ajp-taylor/war-and-peace","book review","2 October 1980","War and Peace","A.J.P. Taylor","4343","3073"
"http://www.lrb.co.uk/v02/n19/angela-carter/colette","essay","2 October 1980","Colette","Angela Carter","4697","3127"
"http://www.lrb.co.uk/v02/n20/patricia-beer/merry-wife-of-windsor","book review","16 October 1980","Merry Wife of Windsor","Patricia Beer","1712","536"
"http://www.lrb.co.uk/v02/n21/brigid-brophy/to-be-continued","book review","6 November 1980","To be continued","Brigid Brophy","3618","895"
"http://www.lrb.co.uk/v02/n21/christopher-hill/montereale","book review","6 November 1980","Montereale","Christopher Hill","2683","2487"
"http://www.lrb.co.uk/v03/n01/craig-raine/a-free-translation","poem","22 January 1981","Poem: ‘A Free Translation’","Craig Raine","299","442"
"http://www.lrb.co.uk/v03/n01/norman-stone/taylorism","book review","22 January 1981","Taylorism","Norman Stone","4264","867"
"http://www.lrb.co.uk/v03/n05/harold-lever/accountability","essay","19 March 1981","Accountability","Harold Lever","2606","580"
"http://www.lrb.co.uk/v03/n05/oliver-sacks/witty-ticcy-ray","essay","19 March 1981","Witty Ticcy Ray","Oliver Sacks","3732","4634"
"http://www.lrb.co.uk/v03/n07/christopher-ricks/in-theory","essay","16 April 1981","In theory","Christopher Ricks","6614","2835"
"http://www.lrb.co.uk/v03/n07/douglas-johnson/althussers-fate","book review","16 April 1981","Althusser’s Fate","Douglas Johnson","5649","3298"
"http://www.lrb.co.uk/v03/n07/salman-rushdie/the-prophets-hair","fiction","16 April 1981","The Prophet’s Hair","Salman Rushdie","5055","6270"
"http://www.lrb.co.uk/v03/n09/marilyn-butler/jane-austens-latest","book review","21 May 1981","Jane Austen’s Latest","Marilyn Butler","5197","1698"
"http://www.lrb.co.uk/v03/n09/michel-foucault/sexuality-and-solitude","essay","21 May 1981","Sexuality and Solitude","Michel Foucault and Richard Sennett","8120","10670"
"http://www.lrb.co.uk/v03/n10/christopher-reid/a-match-for-macchu-picchu","book review","4 June 1981","A Match for Macchu Picchu","Christopher Reid","2319","817"
"http://www.lrb.co.uk/v03/n10/g-cabrera-infante/bites-from-the-bearded-crocodile","essay","4 June 1981","Bites from the Bearded Crocodile","G. Cabrera Infante","14494","1752"
"http://www.lrb.co.uk/v03/n10/mary-renault/alexander-the-greatest","book review","4 June 1981","Alexander the Greatest","Mary Renault","1984","1278"
"http://www.lrb.co.uk/v03/n11/john-maynardsmith/did-darwin-get-it-right","essay","18 June 1981","Did Darwin get it right?","John Maynard Smith","3298","635"
"http://www.lrb.co.uk/v03/n11/michael-ignatieff/mad-or-bad","book review","18 June 1981","Mad or bad?","Michael Ignatieff","2108","1026"
"http://www.lrb.co.uk/v03/n12/paul-addison/jingo-joe","book review","2 July 1981","Jingo Joe","Paul Addison","2141","693"
"http://www.lrb.co.uk/v03/n14/ch-sisson/the-company-he-keeps","book review","6 August 1981","The company he keeps","C.H. Sisson","3048","494"
"http://www.lrb.co.uk/v03/n14/sean-ofaolain/living-and-dying-in-ireland","essay","6 August 1981","Living and Dying in Ireland","Sean O’Faolain","3727","826"
"http://www.lrb.co.uk/v03/n16/ian-hamilton/the-comic-strip","essay","3 September 1981","The Comic Strip","Ian Hamilton","2403","1659"
"http://www.lrb.co.uk/v03/n16/michael-neve/spaced","book review","3 September 1981","Spaced","Michael Neve","4739","502"
"http://www.lrb.co.uk/v03/n16/russell-davies/from-papa-in-heaven","book review","3 September 1981","From Papa in Heaven","Russell Davies","2724","592"
"http://www.lrb.co.uk/v03/n17/paul-rock/rioting","essay","17 September 1981","Rioting","Paul Rock","3428","572"
"http://www.lrb.co.uk/v03/n18/thomas-mckeown/like-hell","book review","1 October 1981","Like Hell","Thomas McKeown","3134","420"
"http://www.lrb.co.uk/v03/n19/jonathan-wordsworth/wordsworth-in-love","essay","15 October 1981","Wordsworth in Love","Jonathan Wordsworth","3144","1893"
"http://www.lrb.co.uk/v03/n20/arthur-marwick/leading-the-labour-party","book review","5 November 1981","Leading the Labour Party","Arthur Marwick","3059","1832"
"http://www.lrb.co.uk/v03/n20/eh-gombrich/perfections-progress","book review","5 November 1981","Perfection’s Progress","E.H. Gombrich","4710","1131"
"http://www.lrb.co.uk/v03/n21/barbara-everett/auden-askew","book review","19 November 1981","Auden Askew","Barbara Everett","8601","1497"
"http://www.lrb.co.uk/v03/n21/nevill-mott/maxwells-equations","book review","19 November 1981","Maxwell’s Equations","Nevill Mott","1413","1134"
"http://www.lrb.co.uk/v03/n21/nicholas-penny/affability","book review","19 November 1981","Affability","Nicholas Penny","1995","637"
"http://www.lrb.co.uk/v03/n21/norman-malcolm/wittgensteins-confessions","book review","19 November 1981","Wittgenstein’s Confessions","Norman Malcolm","3787","3463"
"http://www.lrb.co.uk/v03/n21/patrick-wormald/romanitas","book review","19 November 1981","Romanitas","Patrick Wormald","3713","816"
"http://www.lrb.co.uk/v03/n22/alan-hollinghurst/alan-hollinghurst-writes-about-the-poems-and-novels-of-the-author-of-the-white-hotel","essay","3 December 1981","Alan Hollinghurst writes about the poems and novels of the author of ‘The White Hotel’","Alan Hollinghurst","2677","1405"
"http://www.lrb.co.uk/v03/n24/david-pears/the-will-and-the-body","book review","17 December 1981","The Will and the Body","David Pears","4046","528"
"http://www.lrb.co.uk/v03/n24/patrick-wall/the-new-phrenology","book review","17 December 1981","The New Phrenology","Patrick Wall","2606","1065"
"http://www.lrb.co.uk/v04/n01/david-cannadine/architect-as-hero","book review","21 January 1982","Architect as Hero","David Cannadine","3418","1069"
"http://www.lrb.co.uk/v04/n02/robert-taubman/nobody-is-god","book review","4 February 1982","Nobody is God","Robert Taubman","3265","903"
"http://www.lrb.co.uk/v04/n03/ian-gilmour/america-and-israel","book review","18 February 1982","America and Israel","Ian Gilmour","5610","835"
"http://www.lrb.co.uk/v04/n04/emmanuel-leroyladurie/poland-and-the-new-france","essay","4 March 1982","Poland and the New France","Emmanuel Le Roy Ladurie","3835","569"
"http://www.lrb.co.uk/v04/n04/jonathan-glover/letting-people-die","essay","4 March 1982","Letting people die","Jonathan Glover","4311","1183"
"http://www.lrb.co.uk/v04/n04/selima-hill/charlotte","poem","4 March 1982","Poem: ‘Charlotte’","Selima Hill","70","368"
"http://www.lrb.co.uk/v04/n05/john-brewer/progressive-agenda","book review","18 March 1982","Progressive Agenda","John Brewer","2537","905"
"http://www.lrb.co.uk/v04/n05/john-ziman/irreversibility","book review","18 March 1982","Irreversibility","John Ziman","1926","433"
"http://www.lrb.co.uk/v04/n06/geoffrey-hawthorn/green-films","book review","1 April 1982","Green Films","Geoffrey Hawthorn","1956","615"
"http://www.lrb.co.uk/v04/n07/anita-brookner/dressing-and-undressing","book review","15 April 1982","Dressing and Undressing","Anita Brookner","3842","3673"
"http://www.lrb.co.uk/v04/n08/dan-jacobson/jew-desprit","book review","6 May 1982","Jew d’Esprit","Dan Jacobson","2573","475"
"http://www.lrb.co.uk/v04/n09/john-bayley/unsex-me-here","book review","20 May 1982","Unsex me here","John Bayley","2959","1519"
"http://www.lrb.co.uk/v04/n09/lord-goodman/aversion-theory","book review","20 May 1982","Aversion Theory","Lord Goodman","1651","354"
"http://www.lrb.co.uk/v04/n09/tam-dalyell/a-falklands-polemic","essay","20 May 1982","A Falklands Polemic","Tam Dalyell","2813","1039"
"http://www.lrb.co.uk/v04/n10/karl-miller/diary","diary","3 June 1982","Diary","Karl Miller","2201","584"
"http://www.lrb.co.uk/v04/n10/ursula-creagh/first-chapters","book review","3 June 1982","First Chapters","Ursula Creagh","1807","1966"
"http://www.lrb.co.uk/v04/n12/hugo-williams/the-spring-of-sheep","poem","1 July 1982","Poem: ‘The Spring of Sheep’","Hugo Williams","315","344"
"http://www.lrb.co.uk/v04/n12/penelope-fitzgerald/lottis-leap","book review","1 July 1982","Lotti’s Leap","Penelope Fitzgerald","4501","1579"
"http://www.lrb.co.uk/v04/n13/donald-davie/argonauts","poem","15 July 1982","Poem: ‘Argonauts’","Donald Davie","103","338"
"http://www.lrb.co.uk/v04/n15/ahdaf-soueif/the-water-heater","fiction","19 August 1982","The Water-Heater","Ahdaf Soueif","5666","413"
"http://www.lrb.co.uk/v04/n15/malcolm-deas/falklands-title-deeds","book review","19 August 1982","Falklands Title Deeds","Malcolm Deas","6125","1385"
"http://www.lrb.co.uk/v04/n24/tom-shippey/vidkids","book review","30 December 1982","Vidkids","Tom Shippey","3167","2391"
"http://www.lrb.co.uk/v05/n02/john-sutherland/short-is-sharp","book review","3 February 1983","Short is sharp","John Sutherland","2555","1246"
"http://www.lrb.co.uk/v05/n04/mary-kay-wilmers/hagiography","book review","3 March 1983","Hagiography","Mary-Kay Wilmers","3774","1495"
"http://www.lrb.co.uk/v05/n06/wg-runciman/henry-and-caroline","book review","1 April 1983","Henry and Caroline","W.G. Runciman","2422","658"
"http://www.lrb.co.uk/v05/n07/hugo-williams/aspects-of-my-case","poem","21 April 1983","Poem: ‘Aspects of My Case’","Hugo Williams","1422","468"
"http://www.lrb.co.uk/v05/n08/jim-stewart/clues","book review","5 May 1983","Clues","J.I.M. Stewart","3012","747"
"http://www.lrb.co.uk/v05/n11/richard-rorty/against-belatedness","book review","16 June 1983","Against Belatedness","Richard Rorty","4841","3680"
"http://www.lrb.co.uk/v05/n12/edward-said/edward-said-writes-about-a-new-literature-of-the-arab-world","book review","7 July 1983","Edward Said writes about a new literature of the Arab world","Edward Said","1501","2700"
"http://www.lrb.co.uk/v05/n13/ed-hirsch/derridass-axioms","book review","21 July 1983","Derridas’s Axioms","E.D. Hirsch","3998","670"
"http://www.lrb.co.uk/v05/n13/martin-pugh/would-a-hung-parliament-have-made-any-difference","book review","21 July 1983","Would a hung Parliament have made any difference?","Martin Pugh","2382","1189"
"http://www.lrb.co.uk/v05/n16/john-kerrigan/a-horn-player-greets-his-fate","book review","1 September 1983","A horn-player greets his fate","John Kerrigan","2036","597"
"http://www.lrb.co.uk/v05/n19/dg-wright/great-tradition","book review","20 October 1983","Great Tradition","D.G. Wright","2630","1089"
"http://www.lrb.co.uk/v05/n22/christopher-ricks/dark-tom","book review","1 December 1983","Dark Tom","Christopher Ricks","4064","1177"
"http://www.lrb.co.uk/v05/n22/michael-neve/opera-mundi","book review","1 December 1983","Opera Mundi","Michael Neve","2320","1386"
"http://www.lrb.co.uk/v05/n24/wh-auden/letter-to-an-editor","poem","22 December 1983","Poem: ‘Letter to an Editor’","W.H. Auden","51","1394"
"http://www.lrb.co.uk/v06/n02/anthony-pagden/being-a-benandante","book review","2 February 1984","Being a benandante","Anthony Pagden","4190","1152"
"http://www.lrb.co.uk/v06/n02/frank-kermode/canons","book review","2 February 1984","Canons","Frank Kermode","3312","1931"
"http://www.lrb.co.uk/v06/n02/james-atlas/towards-the-transhuman","book review","2 February 1984","Towards the Transhuman","James Atlas","3103","1695"
"http://www.lrb.co.uk/v06/n02/lawrence-gowing/human-stuff","exhibition review","2 February 1984","Human Stuff","Lawrence Gowing","3700","1043"
"http://www.lrb.co.uk/v06/n09/richard-mayne/gangsters-in-hats","book review","17 May 1984","Gangsters in Hats","Richard Mayne","2347","817"
"http://www.lrb.co.uk/v06/n10/neal-ascherson/last-leader","book review","7 June 1984","Last Leader","Neal Ascherson","2764","1200"
"http://www.lrb.co.uk/v06/n10/susannah-clapp/you-are-my-hearts-delight","book review","7 June 1984","‘You are my heart’s delight’","Susannah Clapp","3212","683"
"http://www.lrb.co.uk/v06/n14/ajp-taylor/diary","diary","2 August 1984","Diary","A.J.P. Taylor","1155","669"
"http://www.lrb.co.uk/v06/n16/john-bayley/superchild","book review","6 September 1984","Superchild","John Bayley","6281","918"
"http://www.lrb.co.uk/v06/n16/michael-stewart/the-miners-strike","essay","6 September 1984","The Miners’ Strike","Michael Stewart","3189","656"
"http://www.lrb.co.uk/v06/n17/craig-raine/the-prophetic-book","poem","20 September 1984","Poem: ‘The Prophetic Book’","Craig Raine","586","471"
"http://www.lrb.co.uk/v06/n17/denton-fox/admirable-urquhart","book review","20 September 1984","Admirable Urquhart","Denton Fox","3124","1283"
"http://www.lrb.co.uk/v06/n17/fiona-pitt-kethley/two-poems","article","20 September 1984","Two Poems","Fiona Pitt-Kethley","510","316"
"http://www.lrb.co.uk/v06/n19/nicholas-spice/arsenals","book review","18 October 1984","Arsenals","Nicholas Spice","2996","988"
"http://www.lrb.co.uk/v06/n19/nv-rampant/nv-rampant-meets-martin-amis","interview","18 October 1984","N.V. Rampant meets Martin Amis","N.V. Rampant","1180","886"
"http://www.lrb.co.uk/v06/n21/ian-hamilton/diary","diary","15 November 1984","Diary","Ian Hamilton","2298","2414"
"http://www.lrb.co.uk/v06/n21/jon-elster/socialism","book review","15 November 1984","Socialism","Jon Elster","1595","733"
"http://www.lrb.co.uk/v06/n22/blake-morrison/xerox","poem","6 December 1984","Poem: ‘Xerox’","Blake Morrison","258","384"
"http://www.lrb.co.uk/v06/n22/david-lodge/a-martian-goes-to-college","poem","6 December 1984","Poem: ‘A Martian goes to College’","David Lodge","208","388"
"http://www.lrb.co.uk/v07/n01/angela-carter/noovs-hoovs-in-the-trough","book review","24 January 1985","Noovs’ hoovs in the trough","Angela Carter","2236","2319"
"http://www.lrb.co.uk/v07/n04/peter-pulzer/the-oxford-vote","essay","7 March 1985","The Oxford Vote","Peter Pulzer","3413","1263"
"http://www.lrb.co.uk/v07/n09/alan-bennett/the-wrong-blond","book review","23 May 1985","The Wrong Blond","Alan Bennett","4061","2372"
"http://www.lrb.co.uk/v07/n14/kazuo-ishiguro/uchi","book review","1 August 1985","Uchi","Kazuo Ishiguro","2184","1728"
"http://www.lrb.co.uk/v08/n07/christopher-reid/here-comes-amy","book review","17 April 1986","Here comes Amy","Christopher Reid","4134","813"
"http://www.lrb.co.uk/v08/n08/philip-roth/pictures-of-malamud","essay","8 May 1986","Pictures of Malamud","Philip Roth","3696","1567"
"http://www.lrb.co.uk/v08/n11/john-sutherland/fuentes-the-memorious","book review","19 June 1986","Fuentes the Memorious","John Sutherland","3174","1468"
"http://www.lrb.co.uk/v08/n11/stephen-greenblatt/splenditello","book review","19 June 1986","Splenditello","Stephen Greenblatt","1899","2315"
"http://www.lrb.co.uk/v08/n18/susan-frombergschaeffer/sherlock-holmes","poem","23 October 1986","Poem: ‘Sherlock Holmes’","Susan Fromberg Schaeffer","342","1484"
"http://www.lrb.co.uk/v08/n19/nicholas-spice/underparts","book review","6 November 1986","Underparts","Nicholas Spice","3572","1016"
"http://www.lrb.co.uk/v09/n03/susan-sontag/dancer-and-the-dance","essay","5 February 1987","Dancer and the Dance","Susan Sontag","2357","2334"
"http://www.lrb.co.uk/v09/n06/carlos-fuentes/a-show-of-heads","book review","19 March 1987","A Show of Heads","Carlos Fuentes","2483","1779"
"http://www.lrb.co.uk/v09/n12/karl-miller/diary","diary","25 June 1987","Diary","Karl Miller","2601","688"
"http://www.lrb.co.uk/v09/n12/vg-kiernan/vg-kiernan-on-treason","essay","25 June 1987","V.G. Kiernan on treason","V.G. Kiernan","5259","1402"
"http://www.lrb.co.uk/v09/n17/john-bayley/falling-in-love-with-the-traffic-warden","book review","1 October 1987","Falling in love with the traffic warden","John Bayley","4807","1057"
"http://www.lrb.co.uk/v09/n20/julian-barnes/diary","diary","12 November 1987","Diary","Julian Barnes","2370","7401"
"http://www.lrb.co.uk/v09/n22/susan-sontag/wagners-fluids","essay","10 December 1987","Wagner’s Fluids","Susan Sontag","4583","1731"
"http://www.lrb.co.uk/v10/n05/john-lanchester/catch-28","book review","3 March 1988","Catch 28","John Lanchester","3164","2568"
"http://www.lrb.co.uk/v10/n09/john-lanchester/be-a-lamp-unto-yourself","book review","5 May 1988","Be a lamp unto yourself","John Lanchester","2814","3554"
"http://www.lrb.co.uk/v10/n16/paul-foot/the-great-times-they-could-have-had","book review","15 September 1988","The great times they could have had","Paul Foot","3450","2153"
"http://www.lrb.co.uk/v10/n22/wg-runciman/diary","diary","8 December 1988","Diary","W.G. Runciman","3165","483"
"http://www.lrb.co.uk/v11/n03/gordon-brown/thatcherism","book review","2 February 1989","Thatcherism","Gordon Brown","2002","3678"
"http://www.lrb.co.uk/v11/n06/frank-kermode/paul-de-mans-abyss","book review","16 March 1989","Paul de Man’s Abyss","Frank Kermode","6464","3466"
"http://www.lrb.co.uk/v11/n08/rw-johnson/is-this-successful-management","book review","20 April 1989","Is this successful management?","R.W. Johnson","4903","983"
"http://www.lrb.co.uk/v11/n09/frank-kermode/southern-virtues","book review","4 May 1989","Southern Virtues","Frank Kermode","2784","1851"
"http://www.lrb.co.uk/v11/n13/marina-warner/baby-power","book review","6 July 1989","Baby Power","Marina Warner","2774","1835"
"http://www.lrb.co.uk/v11/n15/christopher-hitchens/credibility-brown","book review","17 August 1989","Credibility Brown","Christopher Hitchens","4219","1863"
"http://www.lrb.co.uk/v11/n16/rodney-pybus/ciao-fighter","poem","31 August 1989","Poem: ‘Ciao, Fighter!’","Rodney Pybus","430","349"
"http://www.lrb.co.uk/v11/n20/angela-carter/the-merchant-of-shadows","fiction","26 October 1989","The Merchant of Shadows","Angela Carter","6522","2029"
"http://www.lrb.co.uk/v11/n20/mary-kay-wilmers/goodness-me","book review","26 October 1989","Goodness me","Mary-Kay Wilmers","1816","1436"
"http://www.lrb.co.uk/v12/n02/craig-raine/updikes-innocence","book review","25 January 1990","Updike’s Innocence","Craig Raine","3190","1004"
"http://www.lrb.co.uk/v12/n03/richard-rorty/diary","diary","8 February 1990","Diary","Richard Rorty","2150","2553"
"http://www.lrb.co.uk/v12/n12/basil-davidson/on-the-stambul-train","book review","28 June 1990","On the Stambul Train","Basil Davidson","2561","628"
"http://www.lrb.co.uk/v12/n16/john-lanchester/diary","diary","30 August 1990","Diary","John Lanchester","2405","1733"
"http://www.lrb.co.uk/v12/n18/basil-davidson/righteous-turpitudes","book review","27 September 1990","Righteous Turpitudes","Basil Davidson","3997","859"
"http://www.lrb.co.uk/v12/n20/gordon-brown/britain-takes-the-biscuit","book review","25 October 1990","Britain takes the biscuit","Gordon Brown and Geoff Mulgan","3403","1011"
"http://www.lrb.co.uk/v12/n21/edward-pearce/rabbit-resartus","book review","8 November 1990","Rabbit Resartus","Edward Pearce","2604","736"
"http://www.lrb.co.uk/v12/n24/stephen-frears/thats-hollywood","diary","20 December 1990","That’s Hollywood","Stephen Frears","2148","1350"
"http://www.lrb.co.uk/v13/n03/paul-foot/bye-bye-baghdad","essay","7 February 1991","‘Bye Bye Baghdad’","Paul Foot","2305","617"
"http://www.lrb.co.uk/v13/n12/basil-davidson/bad-habits","book review","27 June 1991","Bad Habits","Basil Davidson","1993","1089"
"http://www.lrb.co.uk/v13/n13/basil-davidson/dying-africa","essay","11 July 1991","Dying Africa","Basil Davidson","2027","646"
